FIPS,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More races
Geo_FIPS,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008
13043,11007,7509,2665,29,96,0,629,79
13045,110750,85848,20175,327,905,0,1561,1934
13047,64226,60234,1534,251,735,12,342,1118
13049,12954,9561,3202,41,0,0,94,56
13051,266344,144797,107233,569,6563,146,2792,4244
13053,11917,7977,2451,155,305,34,538,457
13055,25905,22024,2914,16,135,16,377,423
13057,215014,188736,12306,995,3573,46,5195,4163
13059,117762,77350,30810,109,4736,6,1966,2785
13061,3174,1107,1999,0,0,0,0,68
13063,262066,54981,171921,694,13415,180,14396,6479
13065,6800,4740,1940,20,0,0,0,100
13067,691820,436938,173854,1648,31210,402,34366,13402
13069,42566,27307,11642,83,253,0,3025,256
13071,45531,31150,10448,21,272,12,3374,254
13073,124665,95752,19294,352,5294,90,1142,2741
13075,17073,11531,4772,114,28,0,431,197
13077,127212,98947,22602,63,1884,0,1554,2162
13079,12701,9308,2985,104,30,0,12,262
13081,23460,12798,10224,48,221,0,57,112
13083,16598,15950,211,44,127,0,63,203
13085,22246,20992,42,123,156,18,580,335
13087,27815,14849,11582,104,87,0,1093,100
13089,694671,241091,378457,1947,35251,406,25605,11914
13091,21509,14721,6452,28,34,0,112,162
13093,14528,6568,7505,15,17,0,393,30
13095,94591,28204,63492,119,725,0,897,1154
13097,132124,73116,52129,529,2155,0,1984,2211
13099,10928,5215,5549,0,30,0,46,88
13101,4024,2958,85,0,19,0,956,6
13103,52203,43229,7121,199,507,84,486,577
13105,20103,13342,6083,40,33,0,507,98
13107,22600,13889,7606,97,25,0,763,220
13109,10935,6614,3158,33,54,0,968,108
13111,23554,22761,138,201,30,18,145,261
13113,106525,77040,21297,185,4286,98,933,2686
13115,96204,75976,13764,520,1270,54,3153,1467
13117,177103,152592,4819,458,10986,0,5531,2717
13119,22070,19219,1931,29,129,5,497,260
13121,929535,425949,410993,1896,52628,368,21259,16442
13123,28232,26348,121,69,20,0,1283,391
13125,3082,2750,243,0,0,0,0,89
13127,79628,53812,20399,140,978,75,2203,2021
13129,55192,46872,2334,229,557,0,4348,852
13131,25068,15532,7289,133,11,0,1775,328
13133,15988,9113,6115,26,24,0,498,212
13135,810624,427961,189028,2523,86837,477,82432,21366
13137,43038,38425,1776,116,925,0,1323,473
13139,180831,147797,13395,675,3248,41,12602,3073
13141,9422,2253,7044,6,20,0,77,22
13143,28627,26369,1380,27,204,0,242,405
13145,31870,25308,5529,92,177,0,206,558
13147,25277,19765,5068,7,17,15,191,214
13149,11756,10175,1372,0,20,0,0,189
13151,203185,113445,73993,299,6313,293,3693,5149
13153,140699,89223,40147,209,3329,94,3978,3719
13155,9646,6763,2794,10,0,0,42,37
13157,60268,53254,4297,194,1005,84,725,709
13159,13786,10129,2953,288,106,0,126,184
13161,14972,11812,2279,62,47,27,701,44
13163,16817,7017,9671,15,50,0,21,43
13165,8477,4987,3028,0,0,0,238,224
13167,9981,6183,3519,8,158,0,48,65
13169,28638,20960,7187,0,215,0,150,126
13171,18151,11927,5668,38,91,0,161,266
13173,10066,6956,2398,0,228,0,315,169
13175,48264,29711,17311,38,505,0,171,528
13177,28449,21884,5382,40,625,0,185,333
13179,64663,30711,26948,224,1412,284,2765,2319
13181,7962,5192,2595,28,27,0,0,120
13183,14488,9659,3693,125,32,0,633,346
13185,109730,63482,39481,202,1619,28,2292,2626
13187,30040,28147,496,147,123,0,632,495
13189,21762,12564,8829,70,15,0,95,189
13191,14119,8569,5084,92,46,0,106,222
13193,14552,5239,8872,20,210,0,194,17
13195,27988,24544,2244,76,234,0,528,362
13197,8615,5203,2854,0,90,81,255,132
13199,21966,12810,8823,47,29,0,129,128
13201,6094,4216,1822,8,0,0,0,48
13205,23510,11478,11320,17,13,6,389,287
13207,26376,19299,6300,23,242,0,263,249
13209,9054,6402,2440,0,27,0,145,40
13211,17919,13039,4466,25,14,0,82,293
13213,39635,37118,450,64,129,9,1175,690
13215,191278,89502,86320,461,4364,299,3677,6655
13217,100047,55206,40145,355,1110,3,793,2435
13219,32814,29073,1802,6,1034,6,365,528
13221,14745,11563,2478,18,55,0,104,527
13223,141846,112989,24257,431,1129,0,611,2429
13225,27531,13115,12761,8,245,8,897,497
13227,29445,28302,368,149,159,1,279,187
13229,18631,16030,1687,39,69,0,571,235
13231,17765,15511,1913,55,75,0,30,181
13233,41350,33614,5353,50,327,32,1542,432
13235,11801,7794,3738,0,12,57,130,70
13237,21184,14652,5732,0,46,0,597,157
13239,2542,1176,1344,4,6,0,0,12
13241,16297,15394,188,25,240,0,234,216
13243,7596,2837,4424,1,49,0,17,268
13245,200337,79801,109167,694,3352,103,2098,5122
13247,85008,39185,38888,331,1657,0,3306,1641
13249,4963,3250,1420,0,110,0,55,128
13251,14574,7909,6416,6,10,0,29,204
13253,8815,5767,2944,0,47,0,0,57
13255,63979,40646,21080,265,578,0,588,822
13257,26003,22300,3037,81,238,10,106,231
13259,5991,1713,3722,0,5,0,527,24
13261,32425,14358,16805,10,439,0,384,429
13263,6772,2626,4069,0,15,0,0,62
13265,1674,692,930,0,7,0,11,34
13267,25023,16118,7139,71,107,0,1269,319
13269,8700,5124,3481,0,5,0,61,29
13271,16312,9704,6263,31,29,0,239,46
13273,9365,3480,5698,7,38,0,34,108
13275,44715,26565,16650,6,365,44,686,399
13277,40430,25186,11986,10,570,0,2314,364
13279,27270,19068,6826,9,49,0,512,806
13281,10491,10116,128,25,22,0,126,74
13283,6851,4600,1958,0,56,0,10,227
13285,67146,41295,22712,90,1048,0,1109,892
13287,8834,5086,3642,0,37,0,33,36
13289,8984,4976,3823,15,0,6,118,46
13291,21344,20639,261,0,173,8,165,98
13293,27061,18858,7560,41,179,0,204,219
13295,68463,63347,2987,273,191,0,492,1173
13297,83771,66919,12912,285,985,17,1181,1472
13299,36099,24055,10758,105,335,12,555,279
13301,5788,2141,3511,0,89,0,0,47
13303,21092,9645,11197,0,45,0,50,155
13305,30157,22711,6277,32,88,10,648,391
13307,2773,1574,1073,0,16,0,12,98
13309,7572,4465,3082,5,19,0,0,1
